repeat_id,prompt_id,category,requirement,expected_anchor,expected_gateway,rb_request_type,rb_similarity,llm_request_type,llm_raw_adjustment,llm_raw_core_services,similarity_score,template_delta,affected_services
1,REQ-11,In_Distribution,Thêm mã giảm giá sinh nhật tự động chiết khấu 15% vào hóa đơn giỏ hàng của khách hàng thân thiết.,20.0,front-end,APPLY_PROMO_CODE,0.6667,APPLY_PROMO_CODE,5.0,"['carts', 'orders', 'payment']",0.6667,20,"['front-end', 'carts', 'orders', 'payment']"
1,REQ-12,In_Distribution,Gợi ý các mặt hàng thường được mua cùng nhau (Frequently Bought Together) dưới nút thêm giỏ hàng.,30.0,front-end,ADD_TO_CART,0.6667,RECOMMEND_PRODUCTS,0.0,"['front-end', 'catalogue', 'carts']",0.6667,30,"['front-end', 'user', 'catalogue', 'orders']"
1,REQ-13,In_Distribution,Kiểm tra mã vận đơn chuyển phát nhanh và hiển thị lộ trình tài xế đang giao kiện hàng.,15.0,front-end,APPLY_PROMO_CODE,0.3333,TRACK_PACKAGE,0.0,"['shipping', 'front-end']",0.3333,15,"['front-end', 'orders', 'shipping']"
1,REQ-14,In_Distribution,Đánh giá chất lượng vớ sau khi nhận hàng và xếp hạng mức độ hài lòng về dịch vụ giao hàng.,10.0,front-end,TRACK_PACKAGE,0.3333,WRITE_PRODUCT_REVIEW,5.0,"['catalogue', 'orders', 'user']",0.3333,10,"['front-end', 'user', 'catalogue']"
1,REQ-15,In_Distribution,Chọn số lượng 5 đôi vớ và bấm nút đưa vào giỏ hàng mua sắm.,15.0,front-end,ADD_TO_CART,0.3333,ADD_TO_CART,0.0,"['front-end', 'carts', 'catalogue']",0.3333,15,"['front-end', 'catalogue', 'carts']"
1,REQ-16,In_Distribution,Mở ngăn kéo giỏ hàng mini (slide-in cart) để kiểm tra danh mục hàng đã chọn trước khi checkout.,10.0,front-end,ADD_TO_CART,0.6667,VIEW_CART,0.0,"['front-end', 'carts']",0.6667,10,"['front-end', 'carts']"
1,REQ-17,In_Distribution,Tìm kiếm sản phẩm theo từ khóa 'vớ len mùa đông' và duyệt danh mục tìm kiếm.,10.0,front-end,GET_CATALOGUE,0.3333,GET_CATALOGUE,2.0,"['front-end', 'catalogue']",0.3333,10,"['front-end', 'catalogue']"
1,REQ-18,In_Distribution,Đăng ký thành viên mới nhận ngay email kích hoạt tài khoản người dùng.,10.0,front-end,REGISTER,0.3333,REGISTER,5.0,['user'],0.3333,10,"['front-end', 'user']"
1,REQ-19,In_Distribution,Đăng nhập nhanh bằng số điện thoại và mật khẩu cá nhân.,10.0,front-end,LOGIN,0.3333,LOGIN,0.0,"['front-end', 'user']",0.3333,10,"['front-end', 'user']"
1,REQ-20,In_Distribution,Xác nhận mua hàng một chạm (One-Click Buy) cho toàn bộ giỏ hàng và thanh toán tự động.,25.0,front-end,PLACE_ORDER,1.0,PLACE_ORDER,8.0,"['front-end', 'carts', 'orders', 'payment', 'user', 'shipping']",1.0,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-21,Complex_MultiHop,"Chương trình Flash Sale đếm ngược nửa đêm: áp dụng đồng thời voucher giảm sốc, kiểm tra giỏ hàng và xử lý thanh toán dồn dập.",25.0,front-end,PLACE_ORDER,0.3333,PLACE_ORDER,10.0,"['front-end', 'carts', 'orders', 'payment', 'shipping', 'user']",0.3333,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-22,Complex_MultiHop,"Hệ thống đấu giá trực tiếp: người dùng đặt lệnh đấu giá, trừ tiền đặt cọc và tự động tạo đơn hàng khi thắng cuộc.",25.0,front-end,TRACK_PACKAGE,0.3333,PLACE_ORDER,10.0,"['front-end', 'user', 'payment', 'orders', 'shipping', 'carts', 'catalogue']",0.3333,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-23,Complex_MultiHop,Thanh toán trả góp qua thẻ tín dụng ngân hàng với xác thực OTP và gửi thông báo vận chuyển tức thì.,25.0,front-end,PLACE_ORDER,0.3333,PLACE_ORDER,8.0,"['front-end', 'carts', 'orders', 'payment', 'shipping', 'user']",0.3333,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-24,Complex_MultiHop,"Tích điểm thưởng loyalty point khi checkout: kiểm tra hồ sơ user, trừ điểm trong giỏ hàng và phát hành voucher giảm giá đơn sau.",20.0,front-end,APPLY_PROMO_CODE,0.6667,APPLY_PROMO_CODE,5.0,"['user', 'carts', 'orders']",0.6667,20,"['front-end', 'carts', 'orders', 'payment']"
1,REQ-25,Complex_MultiHop,"Trợ lý ảo AI mua sắm: tự động phân tích sở thích, duyệt toàn bộ catalogue và cho sản phẩm vào giỏ hàng.",30.0,front-end,GET_CATALOGUE,0.6667,RECOMMEND_PRODUCTS,10.0,"['front-end', 'catalogue', 'carts', 'user']",0.6667,30,"['front-end', 'user', 'catalogue', 'orders']"
1,REQ-26,Complex_MultiHop,"Đổi trả hàng đa kênh: khách hàng gửi yêu cầu hoàn tiền cho đơn hàng cũ, hủy gói hàng và hoàn tiền ví điện tử.",15.0,front-end,TRACK_PACKAGE,0.3333,PLACE_ORDER,8.0,"['orders', 'payment', 'shipping', 'carts', 'user']",0.3333,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-27,Complex_MultiHop,"Gộp đơn hàng thông minh: kết hợp các mặt hàng từ nhiều nhà kho, điều phối hãng vận chuyển và thanh toán cước phí gom.",25.0,front-end,PLACE_ORDER,0.3333,PLACE_ORDER,8.0,"['front-end', 'orders', 'shipping', 'payment', 'carts']",0.3333,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-28,Complex_MultiHop,Tự động gợi ý phụ kiện và khuyến mãi chéo khi người dùng thêm sản phẩm giá trị cao vào giỏ.,30.0,front-end,APPLY_PROMO_CODE,0.3333,ADD_TO_CART,5.0,"['front-end', 'carts', 'catalogue']",0.3333,15,"['front-end', 'catalogue', 'carts']"
1,REQ-29,Complex_MultiHop,Chương trình quà tặng kèm miễn phí tự động thêm sản phẩm khuyến mãi vào giỏ khi đơn hàng đạt hạn mức.,15.0,front-end,APPLY_PROMO_CODE,0.3333,APPLY_PROMO_CODE,5.0,"['front-end', 'carts', 'orders', 'catalogue']",0.3333,20,"['front-end', 'carts', 'orders', 'payment']"
1,REQ-30,Complex_MultiHop,Hệ thống chống gian lận thẻ (Fraud Detection) quét lịch sử thanh toán của tài khoản người dùng trước khi duyệt lệnh mua hàng.,25.0,front-end,PLACE_ORDER,0.6667,PLACE_ORDER,8.0,"['front-end', 'orders', 'payment', 'user']",0.6667,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-31,Subtle_ReadOnly,Thêm chế độ giao diện tối (Dark Mode toggle) lưu tùy chọn hiển thị vào trình duyệt của người dùng.,10.0,front-end,ADD_TO_CART,0.3333,VIEW_CART,0.0,['front--end'],0.3333,10,"['front-end', 'carts']"
1,REQ-32,Subtle_ReadOnly,Hỗ trợ đa ngôn ngữ Anh - Việt trên thanh menu điều hướng và tiêu đề trang.,10.0,front-end,GET_CATALOGUE,0.0,GET_CATALOGUE,0.0,['front-end'],0.0,10,"['front-end', 'catalogue']"
1,REQ-33,Subtle_ReadOnly,Xuất hóa đơn điện tử đơn hàng ra định dạng file PDF tĩnh để khách hàng tải về xem ngoại tuyến.,10.0,front-end,TRACK_PACKAGE,0.3333,PLACE_ORDER,5.0,"['front-end', 'orders', 'payment', 'shipping']",0.3333,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-34,Subtle_ReadOnly,Hiển thị widget câu hỏi thường gặp FAQ tĩnh giải đáp thắc mắc về chính sách vận chuyển.,15.0,front-end,GET_CATALOGUE,0.0,GET_CATALOGUE,-5.0,['front-end'],0.0,10,"['front-end', 'catalogue']"
1,REQ-35,Subtle_ReadOnly,Thêm bộ lọc sắp xếp sản phẩm theo giá tăng dần hoặc giảm dần trên trang danh mục.,10.0,front-end,ADD_TO_CART,0.3333,GET_CATALOGUE,5.0,"['front-end', 'catalogue']",0.3333,10,"['front-end', 'catalogue']"
1,REQ-36,Subtle_ReadOnly,Hiển thị huy hiệu 'Bán chạy nhất' (Best Seller badge) cạnh ảnh minh họa sản phẩm.,10.0,front-end,GET_CATALOGUE,0.3333,GET_CATALOGUE,-5.0,"['front-end', 'catalogue']",0.3333,10,"['front-end', 'catalogue']"
1,REQ-37,Subtle_ReadOnly,Xem điều khoản dịch vụ và chính sách bảo mật thông tin cá nhân của khách hàng.,10.0,front-end,GET_CATALOGUE,0.3333,GET_CATALOGUE,-5.0,['front-end'],0.3333,10,"['front-end', 'catalogue']"
1,REQ-38,Subtle_ReadOnly,Kiểm tra phiên bản cập nhật hệ thống và footer bản quyền của trang thương mại điện tử.,10.0,front-end,GET_CATALOGUE,0.0,GET_CATALOGUE,-5.0,['front-end'],0.0,10,"['front-end', 'catalogue']"
1,REQ-39,Subtle_ReadOnly,Phóng to hình ảnh thu nhỏ sản phẩm khi rê chuột (hover zoom) trên trang chi tiết.,10.0,front-end,GET_CATALOGUE,0.3333,GET_CATALOGUE,0.0,"['front-end', 'catalogue']",0.3333,10,"['front-end', 'catalogue']"
1,REQ-40,Subtle_ReadOnly,Xem thông tin số điện thoại tổng đài hỗ trợ và đường dây nóng chăm sóc khách hàng.,10.0,front-end,GET_CATALOGUE,0.3333,GET_CATALOGUE,0.0,['front-end'],0.3333,10,"['front-end', 'catalogue']"
1,REQ-41,Adversarial_Stress,Tăng đột biến lưu lượng đặt hàng lên 1000% trong vòng 1 giây để kiểm tra giới hạn chịu tải sập hệ thống.,25.0,front-end,PLACE_ORDER,0.3333,PLACE_ORDER,10.0,"['front-end', 'orders', 'carts', 'payment', 'shipping', 'user', 'catalogue']",0.3333,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-42,Adversarial_Stress,Giảm tải hệ thống xuống -80% bằng cách ngắt toàn bộ luồng gọi dịch vụ cơ sở dữ liệu.,25.0,front-end,GET_CATALOGUE,0.0,PLACE_ORDER,-10.0,"['orders', 'carts', 'payment', 'shipping', 'user']",0.0,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-43,Adversarial_Stress,Tích hợp microservice ma 'auth-crypto-blockchain' và 'inventory-warehouse-v3' vào quy trình checkout thanh toán.,25.0,front-end,PLACE_ORDER,0.6667,PLACE_ORDER,8.0,"['front-end', 'orders', 'payment', 'shipping', 'carts', 'auth-crypto-blockchain', 'inventory-warehouse-v3']",0.6667,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-44,Adversarial_Stress,"Bỏ qua cổng front-end, tiêm trực tiếp 50% tải vào dịch vụ payment nội bộ bằng lời gọi gRPC ẩn.",25.0,front-end,PLACE_ORDER,0.3333,PLACE_ORDER,5.0,"['payment', 'orders']",0.3333,25,"['front-end', 'user', 'catalogue', 'carts', 'orders', 'payment', 'shipping']"
1,REQ-45,Adversarial_Stress,Thực hiện tấn công từ chối dịch vụ DDoS bằng hàng triệu yêu cầu áp mã giảm giá ảo đồng thời.,20.0,front-end,APPLY_PROMO_CODE,1.0,APPLY_PROMO_CODE,5.0,"['front-end', 'carts', 'orders', 'payment']",1.0,20,"['front-end', 'carts', 'orders', 'payment']"
1,REQ-46,Adversarial_Stress,Tính năng vô hình không tiêu thụ tài nguyên với delta bằng đúng 0.00001% trên tất cả dịch vụ.,10.0,front-end,GET_CATALOGUE,0.0,GET_CATALOGUE,0.0,['front-end'],0.0,10,"['front-end', 'catalogue']"
1,REQ-47,Adversarial_Stress,Chạy mô hình khai thác tiền ảo ẩn (Crypto Miner) tiêu thụ 500% CPU trên các container user và catalogue.,10.0,front-end,GET_CATALOGUE,0.3333,GET_CATALOGUE,0.0,"['user', 'catalogue']",0.3333,10,"['front-end', 'catalogue']"
1,REQ-48,Adversarial_Stress,Yêu cầu rỗng: '... ... !!! ??? ---' không chứa bất kỳ từ khóa ngữ nghĩa nào.,10.0,front-end,GET_CATALOGUE,0.0,GET_CATALOGUE,0.0,"['front-end', 'catalogue']",0.0,10,"['front-end', 'catalogue']"
1,REQ-49,Adversarial_Stress,Thay đổi kiến trúc tiêm tải vào nút cơ sở dữ liệu mongo-carts-db với mức tăng 200%.,15.0,front-end,GET_CATALOGUE,0.0,VIEW_CART,5.0,['carts'],0.0,10,"['front-end', 'carts']"
1,REQ-50,Adversarial_Stress,Xóa toàn bộ người dùng khỏi cơ sở dữ liệu user và khởi động lại container shipping.,10.0,front-end,TRACK_PACKAGE,0.3333,TRACK_PACKAGE,0.0,['shipping'],0.3333,15,"['front-end', 'orders', 'shipping']"
